G:\StrontiumData\2020\2020.11\11.29,G:\StrontiumData\2020\2020.11\11.30,G:\StrontiumData\2020\2020.12\12.01,G:\StrontiumData\2020\2020.12\12.02,G:\StrontiumData\2020\2020.12\12.03,G:\StrontiumData\2020\2020.12\12.04,G:\StrontiumData\2020\2020.12\12.05,G:\StrontiumData\2020\2020.12\12.06,G:\StrontiumData\2020\2020.12\12.07,G:\StrontiumData\2020\2020.12\12.08,G:\StrontiumData\2020\2020.12\12.09,G:\StrontiumData\2020\2020.12\12.10,G:\StrontiumData\2020\2020.12\12.11,G:\StrontiumData\2020\2020.12\12.12,G:\StrontiumData\2020\2020.12\12.13,G:\StrontiumData\2020\2020.12\12.14,G:\StrontiumData\2020\2020.12\12.15,G:\StrontiumData\2020\2020.12\12.16,G:\StrontiumData\2020\2020.12\12.17
,15 - load unload lattice 1064 10Er 915 0.5Er  tof,,,15 - bec vary evap end,15 - odt repeats with fake evap,15 - more bec repeats,,15 - odt cw+5 odt hold tof,15 - kd 1064,15 - 1064 Lattice Amplitude Modulation at 10Er,15 - RM1 TOF,15 - ODT Hold - again - added ODT trigger to sequence,,,15 - rm1 tof,15 - redo 14 after fixing PID - 1064 8.5Er vary 915 tof 5000ms odt snapoff,15 - 1064 8.5Er 915 0.5Er AM spec 1-50Hz mod time 1000ms  mod amp 0.05 bm,
,16 - load unload lattice 1064 10Er 915 1Er  tof,,,16 - bec tof evap end 0.15,16 - xodt pico motor walk BEC tof 9000,16 - bec repeats after beam shutter repair,,16 - odt walk bec,16 - bec tof,16 - Repeats for food break,16 - Try to play with red lock,16 -BEC - vary evap end,,,16 - live pd,16 - pzt implementation test,,
,17 - load unload lattice 1064 10Er 915 2Er  tof,,,17 - bec repeats,17 - bec xodt pico motor walk ccw tof 9000,17 - troubleshoot,,17 - bec repeats,17 - bec tof,17 - 1064 Lattice Amplitude Modulation at 10Er,17 - accidentally turned off laser current,17 - copy of 16 bc of BEC issue,,,17 - rm1 tof,17 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 3V 5-50Hz,,
,18 - load unload lattice 1064 10Er 915 0.1Er  tof ramp 500ms,,,,18 - bec tof,18 - rm1 tof,,18 - bec tof,18 - bec tof,18 - 915KD - mistake,18 - Try RM1 TOF,18 - BEC TOF at 0.16 evap end,,,18 - odt hold tof,18 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0V 5-50Hz,,
,19 - load unload lattice 1064 10Er 915 0.1Er  tof ramp 750ms,,,,,19 - odt hold tof,,19 - XODT pico motor vertical walk,19 - bec tof - moving xodt vert -5 ste[,19 - 915KD - no power getting to atoms,19 - Lower red laser current even more,19 - 1064 8.5Er  915 1Er - Vary Lattice Hold - no KD,,,19 - bec tof,19 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 1V 5-50Hz,,
,20 - load unload lattice 1064 10Er 915 0.1Er  tof ramp 1000ms,,,,,20 - bec tof,,20 - xodt pico motor vertical walk reverse direction,20 - bec repeats 11000us tof - moved xodt vert +10 step,20 - 915KD - moved 403 fiber,20 - RM1 TOF,,,,20 - bec repeats,20 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5V 5-50Hz,,
,21 - bec tof,,,,,,,21 - xdot pico motor vertical walk rereverse,21 - bec repeats 11000us tof - moved xodt vert +10 steps more,21 - switched back to 915 pid,21 - Lowered Red current more,,,,21 - bec tof,21 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.25V 5-50Hz,,
,22 - bec repeats,,,,,,,22 - xdot pico motor vertical walk reverse,22 - bec repeats 11000us tof - moved xodt vert back -30 steps,22 - Take expansion data,22 - RM1 TOF,,,,22 - 1064 kd,22 - XXXXXXXXXXXXXXX all the data so far is garbage because there was bandmap,,
,23 - 1064 10Er vary 915 tof 5000ms odt snapoff,,,,,,,23 - odt hold tof,23 - bec repeats 11000us tof - moved xode vert -10 steps,23 - 1064 10Er 915 0.5Er vary lattice hold,23 - Set the red current high,,,,23 - 915 kd,23 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0V 5-50Hz,,
,24 -1064 15Er vary 915 tof 5000ms odt snapoff,,,,,,,24 - bec tof,24 - bec repeats 11000us tof - moved xode vert -20 steps,24 - 1064 10Er 915 0.5Er vary lattice hold - Repeat 23,24 - RM1 TOF,,,,24 - 1064 kd repeats,24 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 1V 5-50Hz,,
,25 -1064 15Er vary 915 tof 5000ms odt snapoff,,,,,,,25 - bec tof repeats,25 - bec repeats 11000us tof - moved xodt back positive,25 - 1064 10Er 915 0.5Er - vary lattice hold - Combo 23 and 24,25 - LivePD,,,,25 - 1 more 1064 kd,25 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5V 5-50Hz,,
,26 -  1064 10Er 915 0.5Er vary lattice hold odt snap off,,,,,,,26 - xodt vertical walk looking at bec,26 - bec repeats 11000us tof - moving XODT poisition back to start -- based on camera monitoring,26 - 1064 10Er 915 0.1Er vary lattice hold,26 - livePD,,,,26 - 1064 10Er AM,26 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.25V 5-50Hz,,
,26 -  1064 10Er 915 0.5Er vary lattice hold odt snap off - Copy,,,,,,,27 - bec repeats while walking xodt vertical,27 - bec repeats 11000us tof - moving XODT poisition back to start -- 2nd attempt,27 - 1064 10Er 915 0.1Er vary lattice hold - repeat 26,,,,,27 - 1064 8.5Er vary 915 tof 5000ms odt snapoff higher values,27 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.1V 5-50Hz,,
,27 -  1064 15Er 915 0.5Er vary lattice hold odt snap off,,,,,,,28 - bec tof,28 - bec repeats 11000us tof - moving XODT poisition back to start -- almost same as previous,28 - 1064 10Er 915 0.1Er vary lattice hold - combo 26 and 27,,,,,27_   --prep 1064 8.5Er vary 915 tof 5000ms odt snapoff,28 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 50Hz fixed vary PZT amp,,
,28 -  1064 20Er 915 0.5Er vary lattice hold odt snap off,,,,,,,29 - vary evap end,29 - bec tof,29 - 1064 10Er 915 0.02Er vary lattice hold,,,,,28 - 1064 10Er vary 915 tof 5000ms odt snapoff higher values,29 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 30Hz fixed vary PZT amp,,
,Copy_of_23 - 1064 10Er vary 915 tof 5000ms odt snapoff,,,,,,,30 - bec repeats,30 - bec repeats,30 - 1064 10Er 915 0.02Er vary lattice hold - repeat 29,,,,,29 - 1064 12Er vary 915 tof 5000ms odt snapoff higher values,30 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 10Hz fixed vary PZT amp,,
,,,,,,,,,31 - bec reoeats XODT vertical walk,31 - 1064 10Er 915 0.02Er vary lattice hold - combo 29 and 30,,,,,30 - 1064 14.5Er vary 915 tof 5000ms odt snapoff higher values,31 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V 3Hz fixed vary PZT amp,,
,,,,,,,,,32 - troubleshoot - odt hold tof,32 - 1064 15Er 915 0.5Er vary lattice hold,,,,,31 - 1064 18Er vary 915 tof 5000ms odt snapoff higher values,32 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.1 50Hz fixed vary lattice hold,,
,,,,,,,,,33 - bec tof,33 - 1064 10Er 915 0.5Er vary lattice hold - 5 repeats,,,,,32 - 1064 14.5Er vary 915 tof 5000ms odt snapoff longer list,33 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 50Hz fixed vary lattice hold,,
,,,,,,,,,34 - bec tof,34 - 1064 8.5Er 915 1Er vary lattice hold - 5 repeats,,,,,,34 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 1 50Hz fixed vary lattice hold,,
,,,,,,,,,35 - bec tof,35 - 1064 15Er 915 0.5Er vary lattice hold - 5 repeats,,,,,,35 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 30Hz fixed vary lattice hold,,
,,,,,,,,,36 - bec repeats tof 11000,36 - 1064 8.5Er 915 1Er vary lattice hold - no repeats,,,,,,36 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 10Hz fixed vary lattice hold,,
,,,,,,,,,37 - live pd,37 - bec with vary bechold,,,,,,37 - 1064 8.5Er 915 0.5Er lattice hold 5000ms PZT offset 3V amp 0.5 3Hz fixed vary lattice hold,,
,,,,,,,,,38 - rm1 tof,38 -  vary bec hold fine,,,,,,38 - XXXXXXXXXXXXXXX oops I was doing 915 0.5Er. Switching to 0.2Er,,
,,,,,,,,,39 - live pd,39 - 1064 8.5Er 915 1Er vary lattice hold after bechold 2s - 5 repeats blue died in the middle,,,,,,39 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 3V amp 0.5V 5-50Hz,,
,,,,,,,,,40 - live pd after zs pming,40 - repeat of 39 1064 8.5Er 915 1Er vary lattice hold after bechold 2s - 5 repeats,,,,,,40 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 3V amp 1V 5-50Hz,,
,,,,,,,,,,41 - 1064 8.5Er 915 1Er vary lattice hold after bechold 1s - 5 repeats,,,,,,41 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 3V amp 1.5V 5-50Hz,,
,,,,,,,,,,,,,,,,42 - 1064 8.5Er 915 0.2Er lattice hold 5000ms PZT offset 3V amp 2V 5-50Hz,,
